Información relacionada a:,Sistemas de compensación, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS SISTEMAS DE COMPENSACIÓN","MONTO BRUTO DE LOS SISTEMAS DE COMPENSACIÓN","MONTO NETO DE LOS SISTEMAS DE COMPENSACIÓN","TIPO DE MONEDA DE LOS SISTEMAS DE COMPENSACIÓN","PERIODICIDAD DE LOS SISTEMAS DE COMPENSACIÓN"
1583468164,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468346,"13/07/22","13/07/22","COMPENSACIÓN","20683.33","20683.33","MN","MENSUAL"
1583468348,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468353,"13/07/22","13/07/22","COMPENSACIÓN","22645.82","22645.82","MN","MENSUAL"
1583468492,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468612,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468762,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468806,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468809,"13/07/22","13/07/22","COMPENSACIÓN","12733.99","12733.99","MN","MENSUAL"
1583468811,"13/07/22","13/07/22","COMPENSACIÓN","47562.34","47562.34","MN","MENSUAL"
1583469044,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583469045,"13/07/22","13/07/22","COMPENSACIÓN","27031.63","27031.63","MN","MENSUAL"
1583469046,"13/07/22","13/07/22","COMPENSACIÓN","13947.71","13947.71","MN","MENSUAL"
1583469048,"13/07/22","13/07/22","COMPENSACIÓN","10496.9","10496.9","MN","MENSUAL"
1583469425,"13/07/22","13/07/22","COMPENSACIÓN","2625.08","2625.08","MN","MENSUAL"
1583469427,"13/07/22","13/07/22","COMPENSACIÓN","2589.82","2589.82","MN","MENSUAL"
1583469524,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583469607,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
