Información relacionada a:,Apoyos económicos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS APOYOS ECONÓMICOS","MONTO BRUTO DE LOS APOYOS ECONÓMICOS","MONTO NETO DE LOS APOYOS ECONÓMICOS","TIPO DE MONEDA DE LOS APOYOS ECONÓMICOS","PERIODICIDAD DE LOS APOYOS ECONÓMICOS"
51773664,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51769034,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51770616,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51771428,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774078,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770315,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774198,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770920,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51771008,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772113,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51773329,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774007,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768838,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770418,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
